id,label,model list,text
2017081,Powertrain,"['CHRYSLER 300 2014', 'CHRYSLER 300 2015', 'CHRYSLER 300 2016', 'CHRYSLER 300 2017', 'DODGE CHARGER 2014', 'DODGE CHARGER 2015', 'DODGE CHARGER 2016', 'DODGE CHARGER 2017']","on certain all-wheel drive vehicles, the front propshaft bolts may be loose. this could result in the front propshaft disconnecting from the vehicle, which would lead to loss of motive power while driving and could also damage powertrain and/or underbody components and create a road hazard, increasing the risk of a crash causing injury and/or damage to property. correction: dealers will replace all eight front propshaft bolts."
2017285,Brakes,"['CHRYSLER PACIFICA 2017', 'VMI CHRYSLER PACIFICA 2017']","on certain vantage mobility international wheelchair accessible vehicles built on chrysler pacifica platforms, the rear wheel brake lines may have been inverted during the conversion process. this could cause an incorrect application of the anti-lock braking system (abs) under certain circumstances, which could increase the risk of a crash causing injury and/or damage to property. correction: dealers will inspect and re-route the brake lines as necessary."
2017362,Powertrain,['TOYOTA CAMRY HV 2016'],"on certain vehicles, the tripod joint of the front drive shaft may have been improperly assembled. this could result in the snap ring that holds the tripod joint to dislocate, which could result in vibration and possible separation of the tripod joint, causing a loss of propulsion while driving and an inoperative transmission park system. the loss of propulsion could increase the risk of a crash. additionally, if the driver exits the vehicle without applying the parking brake, the vehicle could roll away with the transmission in park, increasing the risk of a crash causing injury and/or damage to property. correction: dealers will check the serial number of the drive shafts, and replace as necessary."
2017363,Electrical,"['LEXUS CT200H 2016', 'LEXUS CT200H 2017', 'LEXUS ES 300H 2016', 'LEXUS ES 300H 2017', 'LEXUS ES 350 2016', 'LEXUS ES 350 2017', 'LEXUS GS 350 2016', 'LEXUS GX 460 2016', 'LEXUS GX 460 2017', 'LEXUS IS 200 2016', 'LEXUS IS 200 2017', 'LEXUS IS 300 2016', 'LEXUS IS 300 2017', 'LEXUS IS 350 2016', 'LEXUS IS 350 2017', 'LEXUS LX 570 2017', 'LEXUS NX200T 2016', 'LEXUS NX200T 2017', 'LEXUS NX300H 2016', 'LEXUS NX300H 2017', 'LEXUS RC F 2016', 'LEXUS RC F 2017', 'LEXUS RC300 2016', 'LEXUS RC300 2017', 'LEXUS RC350 2016', 'LEXUS RC350 2017', 'LEXUS RX 350 2016', 'LEXUS RX 350 2017', 'LEXUS RX 450H 2016', 'LEXUS RX 450H 2017', 'SCION IM 2016', 'SCION TC 2016', 'TOYOTA 4RUNNER 2016', 'TOYOTA 4RUNNER 2017', 'TOYOTA AVALON 2016', 'TOYOTA AVALON 2017', 'TOYOTA CAMRY 2016', 'TOYOTA CAMRY 2017', 'TOYOTA CAMRY HYBRID 2016', 'TOYOTA CAMRY HYBRID 2017', 'TOYOTA CH-R 2018', 'TOYOTA COROLLA 2016', 'TOYOTA COROLLA 2017', 'TOYOTA COROLLA IM 2017', 'TOYOTA HIGHLANDER 2016', 'TOYOTA HIGHLANDER 2017', 'TOYOTA HIGHLANDER HYBRID 2016', 'TOYOTA HIGHLANDER HYBRID 2017', 'TOYOTA PRIUS 2016', 'TOYOTA PRIUS 2017', 'TOYOTA PRIUS C 2016', 'TOYOTA PRIUS C 2017', 'TOYOTA PRIUS PRIME 2017', 'TOYOTA PRIUS V 2016', 'TOYOTA PRIUS V 2017', 'TOYOTA RAV4 2016', 'TOYOTA RAV4 2017', 'TOYOTA RAV4 HYBRID 2016', 'TOYOTA RAV4 HYBRID 2017', 'TOYOTA SEQUOIA 2016', 'TOYOTA SEQUOIA 2017', 'TOYOTA SIENNA 2016', 'TOYOTA SIENNA 2017', 'TOYOTA TACOMA 2016', 'TOYOTA TACOMA 2017', 'TOYOTA TUNDRA 2016', 'TOYOTA TUNDRA 2017', 'TOYOTA VENZA 2016', 'TOYOTA YARIS HB 2016', 'TOYOTA YARIS HB 2017']","on certain vehicles, the electrical power cords of some dealer installed block heaters may have been improperly manufactured, causing the wires to contact each other, resulting in a short circuit. a short circuit could lead to a fire which would increase the risk of injury and/or damage to property. correction: dealers will cut the plug end from the block heater to disable its operation as an interim measure until an appropriate remedy is found. as an alternative the owners may choose to have the accessory engine block heater removed and receive a refund of the purchase price of the engine block heater."
2017505,Powertrain,"['TOYOTA SIENNA 2005', 'TOYOTA SIENNA 2006', 'TOYOTA SIENNA 2007', 'TOYOTA SIENNA 2009', 'TOYOTA SIENNA 2010']","on certain vehicles, the transmission may be shifted out of park without first depressing the brake pedal. this could result in unintended vehicle movement, increasing the risk of injury and/or damage to property. correction: dealers will replace the shift lock solenoid."
2017558,Powertrain,"['TOYOTA PRIUS 2012', 'TOYOTA PRIUS 2013', 'TOYOTA PRIUS 2014', 'TOYOTA PRIUS 2015']","on certain plug-in hybrid vehicles, the electric vehicle (ev) hybrid battery's fuse could be subjected to excessive thermal stress and potentially fracture if the vehicle is operated by the electric motor under high-load driving conditions, such as during a long ascent. this would illuminate warning lights and warning messages in the instrument cluster, and in some cases cause the vehicle to enter a fail-safe mode resulting in reduced motive power. in other cases, the hybrid system could shut down, resulting in loss of motive power, which could increase the risk of a crash causing injury and/or property damage. correction: dealers will replace the ev fuse with a new one of an improved design."
2017559,Brakes,['TOYOTA CH-R 2018'],"certain vehicles may fail to conform to canada motor vehicle safety standard (cmvss) 135 - light vehicle brake systems. the electric parking brake (epb) may not apply or release due to an incorrectly programmed skid control ecu. if this occurs while the vehicle is parked on a grade without being place into the park position and the epb warnings are ignored, the vehicle may roll away which would increase the risk of injury and/or damage to property. correction: dealers will update the programming of the skid control ecu."
2016355,Lights And Instruments,['HONDA CIVIC 2016'],"certain two-door vehicles may not comply with the requirements of canada motor vehicle safety standard (cmvss) 108 - lighting system and retroreflective devices. some taillight assemblies may have a damaged rear led side marker light, making it inoperable and are therefore not compliant with the requirements of the standard. this could reduce vehicle conspicuity, which could increase the risk of a crash causing injury and/or damage to property. correction: dealers will inspect, and, if necessary, replace the tail light assembly."
2016444,Fuel Supply,"['HONDA FORZA (NSS300) 2014', 'HONDA FORZA (NSS300) 2015', 'HONDA GROM125 2014', 'HONDA GROM125 2015']","on certain motorcycles, the resin inlet cover of the fuel pump may swell abnormally and interfere with the rotation of the impeller which may cause the fuel pump to stop working properly.  while parked, this can prevent the engine from starting.  if this occurs while riding, it may cause the engine to stall and possibly not restart.  engine stalling, in conjunction with traffic, road conditions, and driver's reactions, could increase the risk of a crash causing injury and/or property damage.  correction:  dealers will replace the original fuel pump with an updated pump.  note: this recall supersedes recall 2014-473. vehicles repaired under the previous recall will require re-inspection and repair."
2016612,Electrical,['HONDA RIDGELINE 2017'],"on certain vehicles, moisture could enter the rear wiring harness through a connection located underneath a drain hole in the truck bed and cause corrosion to form in some connection terminals. if corrosion of the rear wheel speed sensor terminals occurs, it could increase the electrical resistance and may be interpreted by the vehicle stability assist (vsa) as wheel slippage, resulting in a decrease of engine torque or brake application to the rear wheel(s). the unexpected and unnecessary application of brake assist while driving may increase the risk of a crash causing injury and/or damage to property. correction: dealers will inspect the rear wiring harness and corresponding rear drivetrain components for moisture and/or corrosion. if present, the dealer will replace the rear wiring harness and corresponding components as necessary. if there is no moisture or corrosion, the dealer will repair the rear wiring harness to eliminate the potential for moisture intrusion."
2016644,Seats And Restraints,['HONDA ODYSSEY 2016'],"certain vehicles may fail to conform to canada motor vehicle safety standard (cmvss) 207 - anchorage of seats. due to a manufacturing error, the seat adjustment bar that controls the second row centre seat slide function may stick in the unlocked position, allowing the seat to slide freely and fail to meet the requirements of the standard. an unlocked second row centre seat may increase the risk of injury to the seat occupant in the event of a crash. correction: dealers will inspect the slide function for the second row centre seat and repair/replace the seat adjustment bar if necessary."
2016645,Seats And Restraints,"['HONDA ODYSSEY 2011', 'HONDA ODYSSEY 2012', 'HONDA ODYSSEY 2013', 'HONDA ODYSSEY 2014', 'HONDA ODYSSEY 2015', 'HONDA ODYSSEY 2016']","on certain vehicles, the lever on the second row outboard seats, which allows access to the third row seat, may stay in the unlocked position after returning the seat to its normal seating position. an unlocked second row outboard seat could increase the risk of injury to the seat occupant in the event of a crash. correction : dealers will install an additional bracket and spring to the second row outboard seat adjuster to ensure proper engagement of the walk-in lever."
2017009,Airbag,"['ACURA CSX 2006', 'ACURA CSX 2007', 'ACURA CSX 2008', 'ACURA MDX 2005', 'ACURA MDX 2006', 'ACURA RL 2005', 'ACURA RL 2006', 'ACURA RL 2007', 'ACURA RL 2008', 'HONDA ACCORD 2008', 'HONDA CIVIC 2006', 'HONDA CIVIC 2007', 'HONDA CIVIC 2008', 'HONDA CR-V 2005', 'HONDA CR-V 2006', 'HONDA CR-V 2007', 'HONDA CR-V 2008', 'HONDA ELEMENT 2005', 'HONDA ELEMENT 2006', 'HONDA ELEMENT 2007', 'HONDA ELEMENT 2008', 'HONDA FIT 2007', 'HONDA FIT 2008', 'HONDA PILOT 2005', 'HONDA PILOT 2006', 'HONDA PILOT 2007', 'HONDA PILOT 2008', 'HONDA RIDGELINE 2006', 'HONDA RIDGELINE 2007', 'HONDA RIDGELINE 2008']","on certain vehicles, long-term exposure to high absolute humidity and temperature, combined with high temperature cycling, could eventually degrade the propellant contained in the passenger frontal airbag inflator. this could cause the airbag to deploy with more force than normal. as a result, if the vehicle were involved in a collision that warrants airbag deployment, fragments could be propelled toward vehicle occupants, and the airbag assembly could be damaged, preventing proper function. these issues could increase the risk of injury. correction: dealers will replace the passenger frontal airbag inflator. note: canadian climate results in the propellant degrading slowly. the recall is being conducted as a precaution to address future risk, and is expected to replace airbag inflators before their function would be affected."
2017010,Airbag,"['HONDA GL1800 2007', 'HONDA GL1800 2008']","on certain motorcycles, long-term exposure to high absolute humidity and temperature, combined with high temperature cycling, could eventually degrade the propellant contained in the airbag. this could cause the airbag to deploy with more force than normal. as a result, if the motorcycle were involved in a collision that warrants airbag deployment, fragments could be propelled toward motorcycle occupants, and the airbag assembly could be damaged, preventing proper function. these issues could increase the risk of injury. correction: dealers will replace the airbag module. note: canadian climate results in the propellant degrading slowly. the recall is being conducted as a precaution to address future risk, and is expected to replace airbag inflators before their function would be affected."
2015521,Brakes,"['LEXUS ES 300H 2013', 'LEXUS ES 300H 2014', 'LEXUS ES 300H 2015', 'LEXUS ES 350 2013', 'LEXUS ES 350 2014', 'LEXUS ES 350 2015', 'TOYOTA AVALON 2013', 'TOYOTA AVALON 2014', 'TOYOTA AVALON 2015']","on certain vehicles equipped with pre-collision system (pcs), the system could unexpectedly activate while operating the vehicle.  under certain situations, the system may interpret a steel joint or plate in the roadway as an obstacle, and the system may apply the service brake automatically. if the pcs applies unexpected braking force during normal vehicle operation when no impending collision object is present, it could increase the risk of a crash causing injury and/or damage to property.  correction: dealers will disable the pre-collision system (pcs) as an interim measure, and when parts become available, will replace the pcs components with improved parts."
2016051,Airbag,"['LEXUS GX 470 2004', 'LEXUS GX 470 2005', 'LEXUS GX 470 2006', 'LEXUS LX 470 2003', 'LEXUS LX 470 2004', 'LEXUS LX 470 2005', 'LEXUS LX 470 2006', 'TOYOTA 4RUNNER 2004', 'TOYOTA 4RUNNER 2005', 'TOYOTA 4RUNNER 2006', 'TOYOTA SEQUOIA 2005', 'TOYOTA SEQUOIA 2006', 'TOYOTA TUNDRA 2005']","on certain vehicles, the roll rate sensors in the airbag control module may improperly calibrate if the vehicle experiences a body roll motion approximately four seconds after the ignition is turned to the ‘on’ position.  if the vehicle experiences another subsequent body roll motion, the system may erroneously detect a rollover, causing both of the side curtain airbags to deploy and the seat belt pre-tensioners to be activated. unintended airbag and/or seat belt pre-tensioner deployment, in a non-warranted (non-impact) situation, could result in injury and increase the risk of a vehicle crash causing injury and/or property damage. correction: dealers will replace the airbag control module with one which has improved programming."
2016075,Seats And Restraints,"['TOYOTA RAV4 2006', 'TOYOTA RAV4 2007', 'TOYOTA RAV4 2008', 'TOYOTA RAV4 2009', 'TOYOTA RAV4 2010', 'TOYOTA RAV4 2011', 'TOYOTA RAV4 2012']","on certain vehicles, in the event of a severe frontal collision, there is a possibility that the webbing of the seat belt in both second-row outboard seating positions could contact a portion of the metal seat cushion frame, become cut, and separate. if this occurs, the seat belt may not properly restrain the occupant, which could increase the risk of injury. correction: dealers will install plastic protectors on the seat cushion frame in both second-row outboard seating positions."
2016103,Airbag,"['LEXUS SC 430 2002', 'LEXUS SC 430 2003', 'LEXUS SC 430 2004', 'LEXUS SC 430 2005', 'LEXUS SC 430 2006', 'LEXUS SC 430 2007', 'LEXUS SC 430 2008', 'LEXUS SC 430 2009', 'LEXUS SC 430 2010', 'TOYOTA COROLLA 2003', 'TOYOTA COROLLA 2004', 'TOYOTA COROLLA 2005', 'TOYOTA COROLLA 2006', 'TOYOTA COROLLA 2007', 'TOYOTA COROLLA 2008', 'TOYOTA MATRIX 2003', 'TOYOTA MATRIX 2004', 'TOYOTA MATRIX 2005', 'TOYOTA MATRIX 2006', 'TOYOTA MATRIX 2007', 'TOYOTA MATRIX 2008', 'TOYOTA SEQUOIA 2002', 'TOYOTA SEQUOIA 2003', 'TOYOTA SEQUOIA 2004', 'TOYOTA SEQUOIA 2005', 'TOYOTA SEQUOIA 2006', 'TOYOTA SEQUOIA 2007', 'TOYOTA TUNDRA 2003', 'TOYOTA TUNDRA 2004', 'TOYOTA TUNDRA 2005', 'TOYOTA TUNDRA 2006']","on certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment. increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury. this could also damage the airbag module, which could prevent proper deployment. failure of the passenger airbag to fully deploy during a crash (where deployment is warranted) could increase the risk of personal injury to the seat occupant. note: this recall supersedes recalls 2013113, 2014224, 2015197 and 2015269.  correction: all vehicles having not received a replacement inflator as part of the previous recall will now have a replacement inflator installed by dealers. for matrix model vehicles, dealers may replace the front passenger airbag assembly with one equipped with a newly specified inflator."
2016147,Brakes,"['LEXUS ES 350 2016', 'LEXUS RX 350 2016', 'TOYOTA RAV4 2016']","certain vehicles fail to comply with the requirements of canada motor vehicle safety standard (cmvss) 126 - electronic stability control systems. some brake actuator pumps may have been assembled with an o-ring that is damaged in such a way that the brake fluid pressure may not be properly controlled during anti-lock braking (abs), traction control (trac), and vehicle stability control (vsc) system activation(s), which fails to meet the requirements of the standard. this could result in a loss of vehicle stability control, which could increase the risk of a crash causing injury and/or damage to property. correction: dealers will inspect the serial number of the brake actuator and, if necessary, replace the brake actuator assembly."
2016160,Airbag,"['TOYOTA AVALON 2016', 'TOYOTA CAMRY 2016']","certain vehicles may not comply with the requirements of canada motor vehicle safety standard (cmvss) 208 - occupant protection in frontal impacts. the front passenger seat's occupant classification system (ocs) may not have been calibrated properly during the manufacturing process. this could result in the non-deployment of the front passenger air bag and the front passenger knee airbag, which would increase the risk of injury to the seat occupant in a crash where airbag deployment is warranted. correction: dealers will re-calibrate the occupant classification system."
2016256,Suspension,['TOYOTA YARIS 2015'],"on certain vehicles, the front strut mount bearing components may be damaged when a high load is applied to the strut, such as when the vehicle is driven over a large bump. if the vehicle is operated with a damaged bearing, it could cause the upper strut rod assembly to separate, resulting in a loss of vehicle stability which would increase the risk of a crash causing injury and/or damage to property. correction: dealers will replace the strut mounting bearing with improved ones. if damage is found on the bearing, dealers will also replace the strut and front suspension support sub-assembly."
2016335,Airbag,"['LEXUS CT200H 2011', 'LEXUS CT200H 2012', 'TOYOTA PRIUS 2010', 'TOYOTA PRIUS 2011', 'TOYOTA PRIUS 2012']","on certain vehicles, a defect in the curtain shield airbags could cause the inflator to fail, releasing pressurized gas into the airbag, partially inflating it. if this occurs, parts of the inflator could also separate from the vehicle structure, entering the interior of the vehicle. should this occur when occupants are in the vehicle, unintended airbag deployment could startle the driver, and airbag inflator parts could come into contact with the occupants, increasing the risk of injury and a crash.  correction: dealers will install a retention bracket which will prevent the inflator parts from entering the vehicle interior."
2016398,Suspension,"['LEXUS HS 250H 2010', 'TOYOTA RAV4 2006', 'TOYOTA RAV4 2007', 'TOYOTA RAV4 2008', 'TOYOTA RAV4 2009', 'TOYOTA RAV4 2010', 'TOYOTA RAV4 2011']","on certain vehicles, the rear wheel suspension link arms could separate. this could result in loss of vehicle control and cause a crash resulting in injury and/or damage to property. correction: dealers will replace both suspension link arms and encase them in epoxy to prevent future improper servicing. note: this recall supersedes recall 2013327. as part of the previous recall, dealers were to inspect the suspension arms for corrosion, replace them depending on their condition, and encase them in epoxy.  only vehicles which did not receive replacement of both suspension arms through the previous recall will need to be repaired under this campaign."
2016449,Airbag,['TOYOTA PRIUS 2016'],"on certain vehicles, a defect in the passenger airbag inflator could cause stored compressed gas to be released into the airbag. this would cause an unwarranted partial inflation of the airbag. if this were to occur while the vehicle is being driven, it could startle the driver, potentially leading to a crash, or the airbag could contact a passenger seated in the front passenger seat. these issues could increase the risk of injury and/or damage to property. correction: dealers will replace the front passenger airbag assembly."
2016501,Brakes,"['TOYOTA PRIUS 2016', 'TOYOTA PRIUS 2017']","on certain vehicles, the parking brake cables may disengage from the crank lever at the rear caliper.  this could cause the parking brake to become inoperative. if this occurs and the transmission is left in a gear other than ‘park’ while the ignition is on and the driver leaves the vehicle, the vehicle could roll away, increasing the risk of a crash causing injury and/or property damage. correction: dealers will install a clip at the parking brake cable end to prevent the cable from disengaging from the rear brake caliper crank lever."
2016518,Brakes,['TOYOTA HIGHLANDER 2016'],"certain vehicles may not comply with the requirements of canada motor vehicle safety standard (cmvss) 135 – light vehicle brake systems.  the brake fluid level sensor may not have been connected during the manufacturing process. in the event that the brake fluid level sensor wire harness is not connected and the brake fluid were to fall below the specified level without illuminating the warning indicator, the vehicle braking performance could be affected, which would increase the risk of a crash causing injury and/or damage to property. correction: dealers will inspect and connect the brake level fluid sensor as necessary."
2015103,Steering,"['TOYOTA CAMRY 2015', 'TOYOTA CAMRY HV 2015', 'TOYOTA HIGHLANDER 2015', 'TOYOTA HIGHLANDER HV 2015', 'TOYOTA RAV4 2014', 'TOYOTA RAV4 2015']","on certain vehicles, the circuit board for the electric power steering electronic control unit may be damaged.  a damaged circuit board could result in sudden loss of steering power assist and would trigger a warning lamp to illuminate.  a vehicle experiencing a loss of steering power assist would revert to a manual steering mode which would require greater driver effort, especially at low vehicle speeds. a loss of steering power assist could ultimately result in a crash causing property damage and/or personal injury. correction: dealers will replace inspect the electric power steering electronic control unit and, if affected, replace the electronic control unit with a new one."
2015197,Airbag,"['TOYOTA SEQUOIA 2003', 'TOYOTA SEQUOIA 2004', 'TOYOTA TUNDRA 2003', 'TOYOTA TUNDRA 2004']","on certain vehicles, the passenger (frontal) airbag inflator could produce excessive internal pressure during airbag deployment. increased pressure may cause the inflator to rupture, which could allow fragments to be propelled toward vehicle occupants, increasing the risk of injury. this could also damage the airbag module, which could prevent proper deployment. failure of the passenger airbag to fully deploy during a crash (where deployment is warranted) could increase the risk of personal injury to the seat occupant. note: this recall is superseded by recall 2016103. please see recall 2016103 for more information.      "
2015198,Airbag,"['TOYOTA RAV4 2004', 'TOYOTA RAV4 2005']","on certain vehicles, the driver's (frontal) airbag inflator has a potential for intrusion of moisture over time due to insufficient air sealing.  this could result in the inflator rupturing during a deployment, and/or an abnormal deployment of the driver's (frontal) airbag during a crash (where deployment is warranted), which could increase the risk of injury to the seat occupant.  correction:  dealers will replace the driver's (frontal) air bag inflator with an updated part."
